title,description,skills_text,education_requirement,responsibilities
Software Engineer,Software Engineer responsible for automate workflows and manage ci/cd pipelines.,"REST APIs, AWS, Azure, Pandas, TensorFlow, Node.js, Python, SQL",Bachelor's in Information Technology,"Collaborate with stakeholders, Secure cloud environments, Write unit tests, Design scalable systems, Develop microservices"
Frontend Developer,Frontend Developer responsible for conduct data analysis and implement apis.,"AWS, SQL, JavaScript, GCP, Python",Bachelor's in Information Technology,"Manage CI/CD pipelines, Monitor system performance, Develop microservices, Collaborate with stakeholders, Conduct data analysis"
Mobile App Developer,Mobile App Developer responsible for secure cloud environments and write unit tests.,"TensorFlow, CI/CD, Java, Spring Boot, Azure",Master's in Data Science,"Design scalable systems, Collaborate with stakeholders, Implement APIs"
Backend Developer,Backend Developer responsible for write unit tests and develop microservices.,"Python, REST APIs, NoSQL, SQL, Azure, GCP, JavaScript",Bachelor's in Computer Science,"Secure cloud environments, Design scalable systems, Collaborate with stakeholders, Develop microservices"
Data Engineer,Data Engineer responsible for collaborate with stakeholders and monitor system performance.,"GraphQL, Python, React, AWS, TensorFlow, Pandas, Spring Boot",Bachelor's in Information Technology,"Automate workflows, Develop microservices, Secure cloud environments"
Cloud Architect,Cloud Architect responsible for design scalable systems and conduct data analysis.,"GCP, JavaScript, C++, NumPy, Python, Spring Boot",Master's in Data Science,"Secure cloud environments, Conduct data analysis, Design scalable systems"
Cloud Architect,Cloud Architect responsible for write unit tests and write unit tests.,"AWS, REST APIs, SQL, JavaScript, Kubernetes, Java",Bachelor's in Software Engineering,"Secure cloud environments, Design scalable systems, Develop microservices"
Cloud Architect,Cloud Architect responsible for monitor system performance and monitor system performance.,"Azure, Python, NumPy, React, AWS",Bachelor's in Software Engineering,"Secure cloud environments, Collaborate with stakeholders, Develop microservices"
Frontend Developer,Frontend Developer responsible for write unit tests and collaborate with stakeholders.,"Docker, Java, JavaScript, NumPy, GraphQL, Python",Bachelor's in Information Technology,"Design scalable systems, Automate workflows, Secure cloud environments, Conduct data analysis"
Backend Developer,Backend Developer responsible for automate workflows and manage ci/cd pipelines.,"Docker, AWS, Kubernetes, JavaScript, Java, Spring Boot, React",Bachelor's in Software Engineering,"Monitor system performance, Write unit tests, Implement APIs"
Software Engineer,Software Engineer responsible for secure cloud environments and collaborate with stakeholders.,"AWS, C++, Kubernetes, React, Azure",Bachelor's in Software Engineering,"Conduct data analysis, Write unit tests, Secure cloud environments"
Cybersecurity Analyst,Cybersecurity Analyst responsible for automate workflows and write unit tests.,"Pandas, React, REST APIs, Python, Kubernetes, NoSQL, GCP, Java",Bachelor's in Computer Science,"Write unit tests, Manage CI/CD pipelines, Monitor system performance, Automate workflows"
AI/ML Engineer,AI/ML Engineer responsible for write unit tests and monitor system performance.,"Java, Spring Boot, AWS, Pandas, Python, GCP, TensorFlow, GraphQL",Bachelor's in Computer Science,"Implement APIs, Automate workflows, Write unit tests, Manage CI/CD pipelines, Develop microservices"
Cybersecurity Analyst,Cybersecurity Analyst responsible for develop microservices and collaborate with stakeholders.,"Java, Kubernetes, Azure, GCP, Python, CI/CD",Bachelor's in Information Technology,"Monitor system performance, Collaborate with stakeholders, Develop microservices, Conduct data analysis, Design scalable systems"
Data Analyst,Data Analyst responsible for write unit tests and conduct data analysis.,"Kubernetes, NumPy, Azure, REST APIs, Spring Boot, Docker",Master's in Data Science,"Automate workflows, Design scalable systems, Monitor system performance, Implement APIs"
DevOps Engineer,DevOps Engineer responsible for monitor system performance and collaborate with stakeholders.,"AWS, NumPy, JavaScript, GCP, NoSQL, Kubernetes, Java",Bachelor's in Computer Science,"Monitor system performance, Design scalable systems, Develop microservices"
Software Engineer,Software Engineer responsible for monitor system performance and manage ci/cd pipelines.,"Kubernetes, REST APIs, Azure, Java, React, GraphQL",Bachelor's in Computer Science,"Secure cloud environments, Develop microservices, Implement APIs, Manage CI/CD pipelines"
Backend Developer,Backend Developer responsible for develop microservices and design scalable systems.,"Python, Pandas, C++, Spring Boot, GraphQL, AWS, NoSQL",Bachelor's in Software Engineering,"Design scalable systems, Monitor system performance, Implement APIs, Collaborate with stakeholders, Write unit tests"
Data Engineer,Data Engineer responsible for write unit tests and automate workflows.,"AWS, React, Docker, TensorFlow, Java",Bachelor's in Information Technology,"Design scalable systems, Monitor system performance, Automate workflows, Collaborate with stakeholders, Manage CI/CD pipelines"
Data Analyst,Data Analyst responsible for implement apis and conduct data analysis.,"GraphQL, Azure, NumPy, Python, C++",Master's in Data Science,"Implement APIs, Design scalable systems, Collaborate with stakeholders, Automate workflows"
Software Engineer,Software Engineer responsible for design scalable systems and design scalable systems.,"GCP, AWS, Kubernetes, SQL, GraphQL, React, Pandas",Bachelor's in Software Engineering,"Develop microservices, Automate workflows, Implement APIs"
Cybersecurity Analyst,Cybersecurity Analyst responsible for conduct data analysis and implement apis.,"JavaScript, Kubernetes, Node.js, Azure, CI/CD, Pandas",Bachelor's in Cybersecurity,"Automate workflows, Design scalable systems, Write unit tests, Develop microservices, Secure cloud environments"
Frontend Developer,Frontend Developer responsible for secure cloud environments and conduct data analysis.,"Kubernetes, Python, GraphQL, GCP, Docker, Azure",Bachelor's in Computer Science,"Implement APIs, Conduct data analysis, Secure cloud environments, Develop microservices, Collaborate with stakeholders"
Data Engineer,Data Engineer responsible for conduct data analysis and monitor system performance.,"Spring Boot, REST APIs, GCP, TensorFlow, Pandas, Azure, Node.js",Bachelor's in Cybersecurity,"Conduct data analysis, Collaborate with stakeholders, Monitor system performance, Develop microservices, Design scalable systems"
DevOps Engineer,DevOps Engineer responsible for conduct data analysis and write unit tests.,"C++, TensorFlow, JavaScript, GraphQL, Node.js",Master's in Data Science,"Automate workflows, Develop microservices, Implement APIs, Collaborate with stakeholders, Conduct data analysis"
Cloud Architect,Cloud Architect responsible for conduct data analysis and write unit tests.,"Python, NoSQL, Java, React, Kubernetes, Spring Boot, JavaScript, GCP",Bachelor's in Software Engineering,"Monitor system performance, Manage CI/CD pipelines, Develop microservices, Secure cloud environments"
Cloud Architect,Cloud Architect responsible for collaborate with stakeholders and develop microservices.,"Azure, NoSQL, Kubernetes, Docker, SQL",Bachelor's in Cybersecurity,"Design scalable systems, Manage CI/CD pipelines, Write unit tests"
DevOps Engineer,DevOps Engineer responsible for design scalable systems and secure cloud environments.,"Java, NumPy, TensorFlow, CI/CD, GCP, Node.js, Spring Boot, React",Bachelor's in Software Engineering,"Develop microservices, Manage CI/CD pipelines, Implement APIs, Design scalable systems, Conduct data analysis"
Data Analyst,Data Analyst responsible for manage ci/cd pipelines and develop microservices.,"TensorFlow, NumPy, AWS, GCP, Pandas, JavaScript",Bachelor's in Computer Science,"Automate workflows, Secure cloud environments, Manage CI/CD pipelines, Implement APIs, Conduct data analysis"
Data Analyst,Data Analyst responsible for automate workflows and manage ci/cd pipelines.,"CI/CD, Spring Boot, GraphQL, Azure, Docker",Bachelor's in Computer Science,"Manage CI/CD pipelines, Write unit tests, Secure cloud environments, Automate workflows"
Data Engineer,Data Engineer responsible for automate workflows and write unit tests.,"SQL, Java, REST APIs, Pandas, Docker, Python, TensorFlow",Bachelor's in Software Engineering,"Conduct data analysis, Monitor system performance, Manage CI/CD pipelines, Collaborate with stakeholders, Secure cloud environments"
Backend Developer,Backend Developer responsible for implement apis and monitor system performance.,"Pandas, NoSQL, Docker, TensorFlow, NumPy, AWS, GraphQL, Python",Bachelor's in Information Technology,"Secure cloud environments, Collaborate with stakeholders, Design scalable systems"
AI/ML Engineer,AI/ML Engineer responsible for monitor system performance and automate workflows.,"C++, CI/CD, NumPy, Python, Pandas",Bachelor's in Cybersecurity,"Write unit tests, Implement APIs, Collaborate with stakeholders, Automate workflows"
AI/ML Engineer,AI/ML Engineer responsible for secure cloud environments and develop microservices.,"SQL, Spring Boot, Azure, Java, GCP, JavaScript",Bachelor's in Software Engineering,"Develop microservices, Design scalable systems, Conduct data analysis"
AI/ML Engineer,AI/ML Engineer responsible for secure cloud environments and secure cloud environments.,"React, NumPy, Azure, GraphQL, NoSQL, Node.js, Docker, SQL",Bachelor's in Information Technology,"Write unit tests, Secure cloud environments, Develop microservices"
Cybersecurity Analyst,Cybersecurity Analyst responsible for monitor system performance and monitor system performance.,"Pandas, C++, GCP, AWS, NoSQL",Master's in Data Science,"Automate workflows, Implement APIs, Write unit tests, Develop microservices, Monitor system performance"
AI/ML Engineer,AI/ML Engineer responsible for secure cloud environments and collaborate with stakeholders.,"Pandas, Kubernetes, Azure, REST APIs, AWS, SQL",Master's in Data Science,"Manage CI/CD pipelines, Collaborate with stakeholders, Monitor system performance"
AI/ML Engineer,AI/ML Engineer responsible for conduct data analysis and collaborate with stakeholders.,"React, GraphQL, Node.js, AWS, NoSQL, Spring Boot",Bachelor's in Software Engineering,"Monitor system performance, Conduct data analysis, Automate workflows, Collaborate with stakeholders"
Backend Developer,Backend Developer responsible for automate workflows and design scalable systems.,"Python, TensorFlow, SQL, Azure, REST APIs, Spring Boot",Bachelor's in Computer Science,"Secure cloud environments, Implement APIs, Design scalable systems"
Mobile App Developer,Mobile App Developer responsible for secure cloud environments and write unit tests.,"Pandas, Spring Boot, Java, Python, NumPy, JavaScript, GCP, TensorFlow",Bachelor's in Software Engineering,"Design scalable systems, Collaborate with stakeholders, Develop microservices, Implement APIs, Secure cloud environments"
Backend Developer,Backend Developer responsible for implement apis and design scalable systems.,"NoSQL, NumPy, GCP, React, Docker, SQL",Bachelor's in Computer Science,"Manage CI/CD pipelines, Secure cloud environments, Develop microservices, Conduct data analysis"
Frontend Developer,Frontend Developer responsible for write unit tests and implement apis.,"GCP, JavaScript, Node.js, Java, REST APIs",Master's in Data Science,"Secure cloud environments, Automate workflows, Design scalable systems"
Mobile App Developer,Mobile App Developer responsible for automate workflows and write unit tests.,"SQL, Kubernetes, Azure, C++, Node.js, Spring Boot, React",Bachelor's in Software Engineering,"Monitor system performance, Secure cloud environments, Write unit tests, Implement APIs, Manage CI/CD pipelines"
Mobile App Developer,Mobile App Developer responsible for design scalable systems and conduct data analysis.,"SQL, NoSQL, Java, GraphQL, Azure, AWS, React, Docker",Bachelor's in Cybersecurity,"Automate workflows, Manage CI/CD pipelines, Implement APIs"
AI/ML Engineer,AI/ML Engineer responsible for automate workflows and collaborate with stakeholders.,"Kubernetes, React, AWS, NumPy, GraphQL, Java, Spring Boot, Docker",Bachelor's in Information Technology,"Secure cloud environments, Design scalable systems, Monitor system performance, Implement APIs"
Frontend Developer,Frontend Developer responsible for implement apis and manage ci/cd pipelines.,"Kubernetes, GCP, CI/CD, JavaScript, REST APIs, TensorFlow",Bachelor's in Computer Science,"Design scalable systems, Implement APIs, Manage CI/CD pipelines, Automate workflows"
Cloud Architect,Cloud Architect responsible for design scalable systems and collaborate with stakeholders.,"SQL, Docker, Node.js, NumPy, Azure, Python, NoSQL",Bachelor's in Cybersecurity,"Design scalable systems, Conduct data analysis, Write unit tests"
Mobile App Developer,Mobile App Developer responsible for design scalable systems and monitor system performance.,"Python, Spring Boot, C++, Docker, NumPy",Bachelor's in Information Technology,"Write unit tests, Design scalable systems, Automate workflows, Implement APIs"
Mobile App Developer,Mobile App Developer responsible for monitor system performance and develop microservices.,"Pandas, Java, React, C++, JavaScript, TensorFlow",Bachelor's in Software Engineering,"Implement APIs, Conduct data analysis, Automate workflows, Write unit tests, Secure cloud environments"
Cloud Architect,Cloud Architect responsible for design scalable systems and develop microservices.,"GraphQL, AWS, SQL, TensorFlow, React",Bachelor's in Computer Science,"Develop microservices, Monitor system performance, Implement APIs, Conduct data analysis, Write unit tests"
Software Engineer,Software Engineer responsible for implement apis and automate workflows.,"TensorFlow, JavaScript, NumPy, Node.js, GCP, C++, Azure, React",Master's in Data Science,"Monitor system performance, Design scalable systems, Secure cloud environments, Automate workflows"
Frontend Developer,Frontend Developer responsible for secure cloud environments and develop microservices.,"Azure, React, Pandas, CI/CD, NoSQL, AWS",Bachelor's in Information Technology,"Manage CI/CD pipelines, Implement APIs, Collaborate with stakeholders, Monitor system performance"
Data Analyst,Data Analyst responsible for design scalable systems and conduct data analysis.,"AWS, REST APIs, Java, GraphQL, CI/CD, TensorFlow, SQL",Bachelor's in Software Engineering,"Design scalable systems, Conduct data analysis, Monitor system performance, Manage CI/CD pipelines, Secure cloud environments"
Mobile App Developer,Mobile App Developer responsible for design scalable systems and develop microservices.,"C++, Python, React, GCP, JavaScript, NumPy",Bachelor's in Information Technology,"Collaborate with stakeholders, Write unit tests, Conduct data analysis, Monitor system performance"
AI/ML Engineer,AI/ML Engineer responsible for conduct data analysis and develop microservices.,"Azure, Java, Pandas, NumPy, Docker",Bachelor's in Cybersecurity,"Automate workflows, Manage CI/CD pipelines, Secure cloud environments"
Backend Developer,Backend Developer responsible for design scalable systems and manage ci/cd pipelines.,"Python, JavaScript, Kubernetes, NoSQL, CI/CD",Bachelor's in Cybersecurity,"Monitor system performance, Manage CI/CD pipelines, Collaborate with stakeholders, Automate workflows, Write unit tests"
Frontend Developer,Frontend Developer responsible for collaborate with stakeholders and secure cloud environments.,"CI/CD, REST APIs, SQL, Python, Node.js, C++",Bachelor's in Information Technology,"Design scalable systems, Manage CI/CD pipelines, Automate workflows, Write unit tests, Implement APIs"
Software Engineer,Software Engineer responsible for collaborate with stakeholders and secure cloud environments.,"Azure, NoSQL, Python, GCP, Kubernetes, React, Docker",Bachelor's in Software Engineering,"Conduct data analysis, Implement APIs, Secure cloud environments, Collaborate with stakeholders, Develop microservices"
Data Engineer,Data Engineer responsible for automate workflows and write unit tests.,"Docker, AWS, C++, TensorFlow, NumPy, REST APIs, SQL",Bachelor's in Software Engineering,"Manage CI/CD pipelines, Conduct data analysis, Develop microservices, Implement APIs"
Software Engineer,Software Engineer responsible for conduct data analysis and monitor system performance.,"React, JavaScript, GCP, Kubernetes, Pandas, Spring Boot",Bachelor's in Computer Science,"Secure cloud environments, Design scalable systems, Conduct data analysis"
AI/ML Engineer,AI/ML Engineer responsible for automate workflows and secure cloud environments.,"GCP, React, CI/CD, Docker, AWS",Master's in Data Science,"Design scalable systems, Implement APIs, Automate workflows"
Data Engineer,Data Engineer responsible for secure cloud environments and manage ci/cd pipelines.,"CI/CD, GCP, Kubernetes, JavaScript, Pandas",Bachelor's in Computer Science,"Design scalable systems, Write unit tests, Secure cloud environments"
DevOps Engineer,DevOps Engineer responsible for write unit tests and secure cloud environments.,"Docker, React, CI/CD, SQL, GraphQL",Bachelor's in Information Technology,"Implement APIs, Secure cloud environments, Automate workflows, Monitor system performance, Develop microservices"
Backend Developer,Backend Developer responsible for manage ci/cd pipelines and monitor system performance.,"Pandas, Spring Boot, NumPy, AWS, Java, React",Master's in Data Science,"Manage CI/CD pipelines, Design scalable systems, Automate workflows, Conduct data analysis"
Cloud Architect,Cloud Architect responsible for conduct data analysis and manage ci/cd pipelines.,"GraphQL, GCP, Azure, React, AWS, Pandas, REST APIs, Kubernetes",Master's in Data Science,"Automate workflows, Collaborate with stakeholders, Implement APIs, Design scalable systems"
Data Engineer,Data Engineer responsible for manage ci/cd pipelines and develop microservices.,"Spring Boot, GraphQL, React, NoSQL, Java, Kubernetes",Bachelor's in Software Engineering,"Design scalable systems, Monitor system performance, Automate workflows, Conduct data analysis"
Backend Developer,Backend Developer responsible for conduct data analysis and conduct data analysis.,"C++, REST APIs, Azure, JavaScript, Spring Boot, Kubernetes, React",Bachelor's in Software Engineering,"Collaborate with stakeholders, Secure cloud environments, Conduct data analysis"
Data Analyst,Data Analyst responsible for monitor system performance and design scalable systems.,"GraphQL, GCP, CI/CD, React, Node.js, AWS",Bachelor's in Information Technology,"Conduct data analysis, Write unit tests, Implement APIs, Monitor system performance"
Mobile App Developer,Mobile App Developer responsible for design scalable systems and conduct data analysis.,"Kubernetes, REST APIs, TensorFlow, Java, Python, Docker, GraphQL, NoSQL",Bachelor's in Cybersecurity,"Design scalable systems, Manage CI/CD pipelines, Implement APIs, Monitor system performance, Develop microservices"
Cybersecurity Analyst,Cybersecurity Analyst responsible for monitor system performance and design scalable systems.,"Node.js, NumPy, Azure, GCP, Pandas",Master's in Data Science,"Collaborate with stakeholders, Conduct data analysis, Write unit tests, Monitor system performance, Automate workflows"
Data Analyst,Data Analyst responsible for manage ci/cd pipelines and manage ci/cd pipelines.,"Spring Boot, GraphQL, Kubernetes, AWS, Node.js",Bachelor's in Information Technology,"Manage CI/CD pipelines, Implement APIs, Collaborate with stakeholders, Monitor system performance"
DevOps Engineer,DevOps Engineer responsible for design scalable systems and collaborate with stakeholders.,"Azure, TensorFlow, NoSQL, CI/CD, Docker",Bachelor's in Information Technology,"Monitor system performance, Write unit tests, Design scalable systems"
Frontend Developer,Frontend Developer responsible for design scalable systems and implement apis.,"Docker, Kubernetes, SQL, GraphQL, NumPy, Node.js, Python",Bachelor's in Software Engineering,"Design scalable systems, Develop microservices, Implement APIs, Monitor system performance"
Mobile App Developer,Mobile App Developer responsible for develop microservices and secure cloud environments.,"Java, GraphQL, Kubernetes, Pandas, REST APIs, React",Bachelor's in Software Engineering,"Collaborate with stakeholders, Develop microservices, Automate workflows, Monitor system performance"
Data Engineer,Data Engineer responsible for implement apis and develop microservices.,"GraphQL, Docker, JavaScript, NoSQL, Pandas",Bachelor's in Software Engineering,"Automate workflows, Write unit tests, Manage CI/CD pipelines, Collaborate with stakeholders, Implement APIs"
Data Engineer,Data Engineer responsible for monitor system performance and conduct data analysis.,"Kubernetes, Java, NumPy, TensorFlow, Python, NoSQL",Master's in Data Science,"Develop microservices, Monitor system performance, Manage CI/CD pipelines, Collaborate with stakeholders, Conduct data analysis"
Cloud Architect,Cloud Architect responsible for collaborate with stakeholders and design scalable systems.,"NoSQL, Pandas, Node.js, React, Kubernetes",Bachelor's in Information Technology,"Monitor system performance, Secure cloud environments, Collaborate with stakeholders, Conduct data analysis"
Mobile App Developer,Mobile App Developer responsible for secure cloud environments and manage ci/cd pipelines.,"AWS, Kubernetes, CI/CD, Spring Boot, GraphQL, React, GCP",Bachelor's in Information Technology,"Monitor system performance, Write unit tests, Automate workflows, Implement APIs"
Cybersecurity Analyst,Cybersecurity Analyst responsible for develop microservices and secure cloud environments.,"Spring Boot, C++, NumPy, Azure, Docker, React",Bachelor's in Cybersecurity,"Monitor system performance, Secure cloud environments, Design scalable systems, Write unit tests"
Frontend Developer,Frontend Developer responsible for collaborate with stakeholders and write unit tests.,"GraphQL, Node.js, Pandas, TensorFlow, NoSQL, Azure",Master's in Data Science,"Manage CI/CD pipelines, Develop microservices, Implement APIs"
Frontend Developer,Frontend Developer responsible for conduct data analysis and collaborate with stakeholders.,"Node.js, CI/CD, TensorFlow, Docker, React",Bachelor's in Cybersecurity,"Secure cloud environments, Collaborate with stakeholders, Monitor system performance"
Mobile App Developer,Mobile App Developer responsible for conduct data analysis and collaborate with stakeholders.,"Python, SQL, React, GCP, Docker, GraphQL, Kubernetes, CI/CD",Bachelor's in Computer Science,"Automate workflows, Secure cloud environments, Design scalable systems"
Backend Developer,Backend Developer responsible for conduct data analysis and manage ci/cd pipelines.,"Node.js, TensorFlow, Spring Boot, SQL, React, JavaScript",Master's in Data Science,"Manage CI/CD pipelines, Develop microservices, Write unit tests"
Mobile App Developer,Mobile App Developer responsible for write unit tests and collaborate with stakeholders.,"GCP, TensorFlow, Spring Boot, C++, Docker, React, AWS, JavaScript",Bachelor's in Computer Science,"Implement APIs, Secure cloud environments, Automate workflows"
Cloud Architect,Cloud Architect responsible for develop microservices and write unit tests.,"AWS, NoSQL, Pandas, TensorFlow, React, Python, SQL, Java",Bachelor's in Cybersecurity,"Manage CI/CD pipelines, Automate workflows, Monitor system performance"
Frontend Developer,Frontend Developer responsible for develop microservices and automate workflows.,"Azure, NumPy, Node.js, SQL, CI/CD, GraphQL",Bachelor's in Software Engineering,"Design scalable systems, Develop microservices, Collaborate with stakeholders"
Data Analyst,Data Analyst responsible for collaborate with stakeholders and implement apis.,"NoSQL, GCP, AWS, JavaScript, NumPy, Kubernetes",Bachelor's in Computer Science,"Monitor system performance, Develop microservices, Collaborate with stakeholders, Conduct data analysis"
DevOps Engineer,DevOps Engineer responsible for collaborate with stakeholders and conduct data analysis.,"GraphQL, JavaScript, AWS, React, CI/CD",Bachelor's in Information Technology,"Conduct data analysis, Write unit tests, Monitor system performance, Develop microservices"
Data Analyst,Data Analyst responsible for collaborate with stakeholders and develop microservices.,"React, Azure, Pandas, Java, CI/CD, Kubernetes",Bachelor's in Computer Science,"Monitor system performance, Implement APIs, Collaborate with stakeholders"
Frontend Developer,Frontend Developer responsible for manage ci/cd pipelines and collaborate with stakeholders.,"AWS, REST APIs, Pandas, NumPy, React, CI/CD, Node.js",Bachelor's in Information Technology,"Conduct data analysis, Develop microservices, Implement APIs, Write unit tests, Design scalable systems"
Software Engineer,Software Engineer responsible for develop microservices and implement apis.,"SQL, CI/CD, REST APIs, Node.js, Azure, Python, AWS, Docker",Bachelor's in Computer Science,"Automate workflows, Conduct data analysis, Design scalable systems, Secure cloud environments"
Software Engineer,Software Engineer responsible for design scalable systems and collaborate with stakeholders.,"NumPy, CI/CD, Kubernetes, GraphQL, REST APIs, GCP, Python",Bachelor's in Information Technology,"Collaborate with stakeholders, Develop microservices, Automate workflows, Design scalable systems, Manage CI/CD pipelines"
Data Engineer,Data Engineer responsible for conduct data analysis and secure cloud environments.,"GCP, AWS, REST APIs, GraphQL, React, SQL",Bachelor's in Computer Science,"Design scalable systems, Develop microservices, Conduct data analysis, Manage CI/CD pipelines, Monitor system performance"
Data Engineer,Data Engineer responsible for write unit tests and conduct data analysis.,"Node.js, REST APIs, C++, GraphQL, Spring Boot, Docker, Pandas",Master's in Data Science,"Design scalable systems, Write unit tests, Develop microservices"
Data Analyst,Data Analyst responsible for monitor system performance and collaborate with stakeholders.,"Azure, TensorFlow, REST APIs, JavaScript, GCP",Master's in Data Science,"Design scalable systems, Write unit tests, Manage CI/CD pipelines"
Mobile App Developer,Mobile App Developer responsible for write unit tests and write unit tests.,"SQL, NoSQL, GraphQL, GCP, Java, NumPy, React, Azure",Bachelor's in Information Technology,"Develop microservices, Secure cloud environments, Conduct data analysis"
AI/ML Engineer,AI/ML Engineer responsible for monitor system performance and monitor system performance.,"Java, REST APIs, NumPy, Python, Docker",Bachelor's in Cybersecurity,"Monitor system performance, Develop microservices, Design scalable systems, Write unit tests, Secure cloud environments"
Cloud Architect,Cloud Architect responsible for write unit tests and implement apis.,"GCP, Azure, Pandas, React, REST APIs, NoSQL",Bachelor's in Cybersecurity,"Automate workflows, Develop microservices, Collaborate with stakeholders"
Data Analyst,Data Analyst responsible for write unit tests and conduct data analysis.,"Java, AWS, REST APIs, GCP, CI/CD",Bachelor's in Cybersecurity,"Manage CI/CD pipelines, Write unit tests, Automate workflows"
Data Engineer,Data Engineer responsible for secure cloud environments and design scalable systems.,"CI/CD, GraphQL, Node.js, C++, Spring Boot",Bachelor's in Computer Science,"Write unit tests, Design scalable systems, Collaborate with stakeholders, Monitor system performance, Implement APIs"
Frontend Developer,Frontend Developer responsible for conduct data analysis and develop microservices.,"Python, AWS, React, Docker, Pandas",Bachelor's in Computer Science,"Manage CI/CD pipelines, Implement APIs, Develop microservices"
Frontend Developer,Frontend Developer responsible for implement apis and secure cloud environments.,"AWS, Spring Boot, Docker, CI/CD, Kubernetes",Master's in Data Science,"Design scalable systems, Collaborate with stakeholders, Conduct data analysis"
Frontend Developer,Frontend Developer responsible for develop microservices and implement apis.,"Python, Docker, GCP, Pandas, Java, React, CI/CD, Spring Boot",Bachelor's in Cybersecurity,"Write unit tests, Monitor system performance, Implement APIs, Conduct data analysis"
Cybersecurity Analyst,Cybersecurity Analyst responsible for secure cloud environments and develop microservices.,"GraphQL, Python, SQL, Spring Boot, Azure",Master's in Data Science,"Collaborate with stakeholders, Conduct data analysis, Implement APIs, Design scalable systems, Secure cloud environments"
Frontend Developer,Frontend Developer responsible for collaborate with stakeholders and secure cloud environments.,"NumPy, SQL, C++, REST APIs, Azure",Bachelor's in Information Technology,"Write unit tests, Conduct data analysis, Develop microservices"
Backend Developer,Backend Developer responsible for conduct data analysis and write unit tests.,"Azure, Docker, REST APIs, React, SQL, Python, Kubernetes, GCP",Bachelor's in Cybersecurity,"Implement APIs, Monitor system performance, Automate workflows, Design scalable systems"
Cloud Architect,Cloud Architect responsible for implement apis and collaborate with stakeholders.,"SQL, Azure, NoSQL, Kubernetes, Spring Boot, Pandas",Bachelor's in Software Engineering,"Implement APIs, Collaborate with stakeholders, Manage CI/CD pipelines, Secure cloud environments, Conduct data analysis"
Mobile App Developer,Mobile App Developer responsible for design scalable systems and write unit tests.,"Pandas, React, Docker, GraphQL, Azure, Kubernetes",Bachelor's in Information Technology,"Automate workflows, Manage CI/CD pipelines, Design scalable systems, Develop microservices, Write unit tests"
Cloud Architect,Cloud Architect responsible for collaborate with stakeholders and implement apis.,"Pandas, CI/CD, AWS, Docker, Python",Bachelor's in Computer Science,"Design scalable systems, Conduct data analysis, Secure cloud environments, Manage CI/CD pipelines"
Cybersecurity Analyst,Cybersecurity Analyst responsible for collaborate with stakeholders and write unit tests.,"NumPy, REST APIs, Pandas, Python, Java, NoSQL, React",Bachelor's in Information Technology,"Monitor system performance, Implement APIs, Write unit tests"
Data Engineer,Data Engineer responsible for write unit tests and collaborate with stakeholders.,"CI/CD, Docker, Node.js, SQL, GCP, JavaScript, Spring Boot, NoSQL",Bachelor's in Software Engineering,"Automate workflows, Monitor system performance, Implement APIs, Conduct data analysis, Design scalable systems"
